"","original_code","code_level","code","sector","borderline"
"210","Manufacture of fish oil and other marine animal oils",5,10460,"not in scope",FALSE
"211","Manufacture of unprepared animal feeds from vegetable, animal oils and fats",5,10470,"not in scope",FALSE
"212","Manufacture of vegetable and animal oil and fats, n.e.c.",5,10490,"not in scope",FALSE
"213","Processing of fresh milk and cream",5,10510,"not in scope",FALSE
"214","Manufacture of powdered milk (except for infants) and condensed or evaporated milk (filled, combined or reconstituted)",5,10520,"not in scope",FALSE
"215","Manufacture of infants' powdered milk",5,10530,"not in scope",FALSE
"216","Manufacture of butter, cheese and curd",5,10540,"not in scope",FALSE
"217","Manufacture of ice cream and sherbet, ice drop, ice candy and other flavored ices",5,10550,"not in scope",FALSE
"218","Manufacture of milk-based infants' and dietetic foods",5,10560,"not in scope",FALSE
"219","Manufacture of yoghurt",5,10570,"not in scope",FALSE
"220","Manufacture of whey",5,10580,"not in scope",FALSE
"221","Manufacture of dairy products, n.e.c.",5,10590,"not in scope",FALSE
"222","Rice/corn milling",5,10610,"not in scope",FALSE
"223","Cassava flour milling",5,10621,"not in scope",FALSE
"224","Flour milling except cassava flour milling",5,10622,"not in scope",FALSE
"225","Manufacture of cereal breakfast foods obtained by roasting or swelling, etc.",5,10623,"not in scope",FALSE
"226","Manufacture of unprepared animal feeds from grain milling residues",5,10624,"not in scope",FALSE
"227","Manufacture of flour mixes and prepared blended flour and dough for bread, cakes, biscuits or pancakes",5,10625,"not in scope",FALSE
"228","Manufacture of grain and vegetable mill products, n.e.c.",5,10629,"not in scope",FALSE
"229","Manufacture of starches and starch products",5,10630,"not in scope",FALSE
"230","Baking of bread, cakes, pastries, pies and similar ""perishable"" bakery products, including hopia and doughnut making",5,10711,"not in scope",FALSE
"231","Baking of biscuits cookies, crackers, pretzels and similar dry bakery products",5,10712,"not in scope",FALSE
"232","Manufacture of ice cream cones (apa) and wafers (barquillos)",5,10713,"not in scope",FALSE
"233","Manufacture of snack products such as corn curls, wheat crunchies and similar products",5,10714,"not in scope",FALSE
"234","Sugarcane milling",5,10721,"not in scope",FALSE
"235","Sugar refining",5,10722,"not in scope",FALSE
"236","Manufacture of muscovado sugar not carried on in the farm",5,10723,"not in scope",FALSE
"237","Manufacture of molasses",5,10724,"not in scope",FALSE
"238","Manufacture of sugar, n.e.c.",5,10729,"not in scope",FALSE
"239","Manufacture of chocolate and cocoa products including chocolate candies",5,10731,"not in scope",FALSE
"240","Manufacture of candies (excluding chocolate candies) and chewing gum",5,10732,"not in scope",FALSE
"241","Manufacture of popcorn and poprice",5,10733,"not in scope",FALSE
"242","Manufacture of chocolate and sugar confectionery products, n.e.c.",5,10739,"not in scope",FALSE
"243","Manufacture of macaroni, noodles, couscous and similar farinaceous products",5,10740,"not in scope",FALSE
